"script_or_sound","current_recording_location_and_filename","new_recording_location_and_filename","recording_type","letter","recording_notes","lookup_key","recording_id","current_duration_seconds","current_recording_url"
"Short a, as in apple; Ah","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d9d7035b812ea372.wav","","phonics","A","Record only the sound, not the letter name, this instruction, or the internal lookup key.","phonics-a","d9d7035b812ea372","0.523","https://kpopboom.party/little-patterns/assets/voice/d9d7035b812ea372.wav"
"Letter B: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e0fe87b9ef1bd5b3.wav","","phonics","B","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","buh","e0fe87b9ef1bd5b3","0.38","https://kpopboom.party/little-patterns/assets/voice/e0fe87b9ef1bd5b3.wav"
"Letter C: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d303d1e2da806b11.wav","","phonics","C","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","cuh","d303d1e2da806b11","0.418","https://kpopboom.party/little-patterns/assets/voice/d303d1e2da806b11.wav"
"Letter D: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8bf8d03ef2ed098c.wav","","phonics","D","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","duh","8bf8d03ef2ed098c","0.411","https://kpopboom.party/little-patterns/assets/voice/8bf8d03ef2ed098c.wav"
"Short e, as in egg; Eh","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\4b1d090638ef2d10.wav","","phonics","E","Record only the sound, not the letter name, this instruction, or the internal lookup key.","phonics-e","4b1d090638ef2d10","0.386","https://kpopboom.party/little-patterns/assets/voice/4b1d090638ef2d10.wav"
"Letter F: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\644773b2a640de10.wav","","phonics","F","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","fuh","644773b2a640de10","0.373","https://kpopboom.party/little-patterns/assets/voice/644773b2a640de10.wav"
"Letter G: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8adc754deabcaf8e.wav","","phonics","G","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","guh","8adc754deabcaf8e","0.382","https://kpopboom.party/little-patterns/assets/voice/8adc754deabcaf8e.wav"
"Letter H: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e48510d1ff85568d.wav","","phonics","H","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","huh","e48510d1ff85568d","0.385","https://kpopboom.party/little-patterns/assets/voice/e48510d1ff85568d.wav"
"Short i, as in in; not eye","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e6a17ba6139ca932.wav","","phonics","I","Record only the sound, not the letter name, this instruction, or the internal lookup key.","phonics-i","e6a17ba6139ca932","0.476","https://kpopboom.party/little-patterns/assets/voice/e6a17ba6139ca932.wav"
"Letter J: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\5c2ed1176c910bba.wav","","phonics","J","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","juh","5c2ed1176c910bba","0.41","https://kpopboom.party/little-patterns/assets/voice/5c2ed1176c910bba.wav"
